আফ্রিকা	Africa
টেমপ্লেট:ওয়েস্ট ইন্ডিজ দল ১৯৭৯ ক্রিকেট বিশ্বকাপ	Template:West Indies Squad 1979 Cricket World Cup
টেমপ্লেট:Iranian Architecture	Template:Iranian architecture
টেমপ্লেট:Infobox former political post	Template:Infobox former political post
বিষয়শ্রেণী:সিলেট	Category:Sylhet
টেমপ্লেট:Tz	Template:Tz
টেমপ্লেট:Now	Template:Now
টেমপ্লেট:TimebyUTCoffset	Template:TimebyUTCoffset
টেমপ্লেট:Convert/BOE	Template:Convert/BOE
উইকিপিডিয়া:প্রায়শ জিজ্ঞাসিত প্রশ্ন/কারিগরী	Wikipedia:FAQ/Technical
উইকিপিডিয়া:প্রায়শ জিজ্ঞাসিত প্রশ্ন/অন্যান্য	Wikipedia:FAQ/Miscellaneous
টেমপ্লেট:Convert/list of units/extra	Template:Convert/list of units/extra
টেমপ্লেট:Convert/list of units/rowuninotetopwaltab	Template:Convert/list of units/rowuninotetopwaltab
টেমপ্লেট:Convert/list of units/speed/short list	Template:Convert/list of units/speed/short list
টেমপ্লেট:Convert/list of units/temperature/short list	Template:Convert/list of units/temperature/short list
টেমপ্লেট:Convert/list of units/triple	Template:Convert/list of units/triple
টেমপ্লেট:Convert/list of units/volume/short list	Template:Convert/list of units/volume/short list
টেমপ্লেট:Convert/USgalatm	Template:Convert/U.S.galatm
টেমপ্লেট:Convert/+/-	Template:Convert/±
টেমপ্লেট:MedalCount	Template:MedalCount
টেমপ্লেট:FlagIOC2athlete	Template:FlagIOC2athlete
উইকিপিডিয়া:সংরক্ষিত উপকরণ	Wikipedia:Restricted materials
টেমপ্লেট:IPA-sv	Template:IPA-sv
টেমপ্লেট:থামুন	Template:Stop
টেমপ্লেট:Done/See also	Template:Done/See also
টেমপ্লেট:Hash-tag	Template:Hash-tag
টেমপ্লেট:Section-sign	Template:Section-sign
২০১৩ আইসিসি চ্যাম্পিয়ন্স ট্রফি ফাইনাল	2013 ICC Champions Trophy Final
টেমপ্লেট:Class/colour	Template:Class/colour
গণচীনে তিব্বতের অন্তর্ভুক্তি	Incorporation of Tibet into the People's Republic of China
টেমপ্লেট:Fnote	Template:Fnote
টেমপ্লেট:Infobox fictional country	Template:Infobox fictional country
টেমপ্লেট:বাংলার প্রত্নস্থল	Template:Non-extant Bengal places
টেমপ্লেট:Euroleague color cell	Template:Euroleague color cell
টেমপ্লেট:Euroleague color	Template:Euroleague color
টেমপ্লেট:Euroleague color cell2	Template:Euroleague color cell2
টেমপ্লেট:NBL colour	Template:NBL colour
টেমপ্লেট:PBA color	Template:PBA color
২০১৩ অস্ট্রেলিয়া ক্রিকেট দলের ইংল্যান্ড সফর	Australian cricket team in England in 2013
টেমপ্লেট:GAList/check	Template:GAList/check
টেমপ্লেট:GATable	Template:GATable
টেমপ্লেট:FGAN	Template:FGAN
টেমপ্লেট:GATable/item	Template:GATable/item
টেমপ্লেট:GAList	Template:GAList
টেমপ্লেট:GAN counter	Template:GAN counter
টেমপ্লেট:FlagIOC2team	Template:FlagIOC2team
টেমপ্লেট:Pre-Saudi states	Template:Pre-Saudi states
টেমপ্লেট:Get rank	Template:Get rank
টেমপ্লেট:Ottoman battles	Template:Ottoman battles
বিষয়শ্রেণী:ইরাকি মানুষ অনুযায়ী ফায়ারিং স্কোয়াডে মৃত্যুদন্ড কার্যকর	Category:People executed by Iraq by firing squad
টেমপ্লেট:Infobox aircraft type	Template:Infobox aircraft type
টেমপ্লেট:Cite NIE	Template:Cite NIE
টেমপ্লেট:MoreInfo	Template:MoreInfo
টেমপ্লেট:Verified	Template:Verified
মডিউল:Italic title	Module:Italic title
টেমপ্লেট:Notfixed	Template:Notfixed
টেমপ্লেট:Resolved mark	Template:Resolved mark
টেমপ্লেট:Decline	Template:Decline
টেমপ্লেট:Impossible	Template:Impossible
টেমপ্লেট:Inprogress	Template:Inprogress
টেমপ্লেট:Confirmed	Template:Confirmed
টেমপ্লেট:Uploaded	Template:Uploaded
টেমপ্লেট:Resolved mark large	Template:Resolved mark large
টেমপ্লেট:Wrong venue	Template:Wrong venue
কেন্দ্রীয় পর্যবেক্ষণ ব্যবস্থা	Central Monitoring System
টেমপ্লেট:Great	Template:Great
টেমপ্লেট:পরে	Template:Later
টেমপ্লেট:GAonhold	Template:GAOnHold
টেমপ্লেট:Thumbs down	Template:Thumbs down
টেমপ্লেট:No mark	Template:No mark
টেমপ্লেট:IPA-sh	Template:IPA-sh
টেমপ্লেট:ইউরোপীয় ইউনিয়নে ভূগর্ভস্থ দ্রুত পরিবহণ	Template:Underground rapid transit in the European Union
টেমপ্লেট:Mbox template family	Template:Mbox template family
উইকিপিডিয়া:ভিজ্যুয়ালএডিটর/ব্যবহারকারী নির্দেশিকা	Wikipedia:VisualEditor/User guide
আইসিসি বিশ্ব টেস্ট চ্যাম্পিয়নশীপ	ICC World Test Championship
মিচেল মার্শ	Mitchell Marsh
টেমপ্লেট:Psy	Template:Psy
গিয়াসউদ্দিন জালাল শাহ	Ghiyasuddin Jalal Shah
বাস্তু প্রকৌশলী	Civil engineer
টেমপ্লেট:WEEKDAY	Template:WEEKDAY
টেমপ্লেট:Heads of State of the South America	Template:Heads of State of South America
টেমপ্লেট:Fh-rt	Template:Fh-rt
টেমপ্লেট:Infobox forest	Template:Infobox forest
টেমপ্লেট:Style/yid	Template:Style/yid
যিশুর ঐতিহাসিক সত্যতা	Historicity of Jesus
প্রিন্স জর্জ অফ কেমব্রিজ	Prince George of Cambridge
টেমপ্লেট:Unblock on hold	Template:Unblock on hold
টেমপ্লেট:Unblocked	Template:Unblocked
টেমপ্লেট:কনকাকাফ গোল্ড কাপ বিজয়ী	Template:CONCACAF Gold Cup winners
বিষয়শ্রেণী:ঐতিহ্যবাহী আফ্রিকার ঔষধে উদ্ভিদ ব্যবহার	Category:Plants used in traditional African medicine
টেমপ্লেট:ফিল্ডহকিগোল	Template:Fhgoal
টেমপ্লেট:অলিম্পিকহাতুড়িছোঁড়া	Template:OlympicsHammer Throw
টেমপ্লেট:বিরামচিহ্ন দরকার	Template:Pronunciation needed
টেমপ্লেট:Infobox poem	Template:Infobox poem
টেমপ্লেট:Ill	Template:Interlanguage link
মুক্তি (স্বামী বিবেকানন্দের কবিতা)	To the Fourth of July
টেমপ্লেট:KMT	Template:KMT
আই ২৪ নিউজ	I24news
রেমা–কালেঙ্গা অভয়ারণ্য	Rema-Kalenga Wildlife Sanctuary
টেমপ্লেট:Ashes timeline	Template:Ashes timeline
টেমপ্লেট:Uw-own3	Template:Uw-own3
টেমপ্লেট:Uw-create4	Template:Uw-create4
বিষয়শ্রেণী:আগ্রাবাদ	Category:Agrabad
কলকাতা রাষ্ট্রীয় পরিবহণ সংস্থা	Calcutta State Transport Corporation
টেমপ্লেট:ঈদ মোবারক	Template:Eid Mubarak
ঢাকা কলেজ	Dhaka College
ঢাকা প্রকৌশল ও প্রযুক্তি বিশ্ববিদ্যালয়	Dhaka University of Engineering & Technology, Gazipur
শেখ কামাল আন্তর্জাতিক ক্রিকেট স্টেডিয়াম, কক্সবাজার	Sheikh Kamal International Stadium, Cox's Bazar
টেমপ্লেট:Top French female tennis players	Template:Top French female tennis players
কাব্য বিশ্বনাথন	How Opal Mehta Got Kissed, Got Wild, and Got a Life
ইলা মিত্র	Ila Mitra
কাইরেন পাওয়েল	Kieran Powell
দু’টি আন্তর্জাতিক দলে অংশগ্রহণকারী ক্রিকেটারদের তালিকা	List of cricketers who have played for two international teams
টেস্ট ক্রিকেটে হ্যাট্রিকের তালিকা	List of Test cricket hat-tricks
মাহবুবুল আলম	Mahbubul Alam (cricketer)
মালবাজার মহকুমা	Malbazar subdivision
উইকিপিডিয়া:সম্ভবত মুক্তনয় এমন ফাইল	Wikipedia:Possibly unfree files
মিসির আলি	Misir Ali
মতিঝিল মডেল স্কুল	Motijheel Model High School and College
মুন্সি আব্দুর রউফ	Munshi Abdur Rouf
মুস্তাফা খালিদ পলাশ	Mustapha Khalid Palash
নবকুমার ইন্সটিটিউশন	Nabakumar Institution
ন্যাশনাল জিওগ্রাফিক চ্যানেল (দ্ব্যর্থতা নিরসন)	National Geographic Channel (disambiguation)
১ডি নং জাতীয় সড়ক (ভারত)	National Highway 1D (India)(old numbering)
টেমপ্লেট:চট্টগ্রাম বিভাগের উপজেলা	Template:Upazilas of Chittagong Division
নীরেন্দ্রনাথ চক্রবর্তী	Nirendranath Chakravarty
ওগো বধূ সুন্দরী	Ogo Bodhu Shundori
পাকিস্তান জাতীয় মহিলা ক্রিকেট দল	Pakistan national women's cricket team
বিষয়শ্রেণী:ভিজ্যুয়ালএডিটর	Category:VisualEditor
টেমপ্লেট:ভারতে সন্ত্রাসী হামলা (২০০১ থেকে)	Template:Terrorist attacks in India (since 2001)
টেমপ্লেট:PREVIOUSMONTH	Template:PREVIOUSMONTH
টেমপ্লেট:RoutemapRouteIcon	Template:RoutemapRouteIcon
শ্রীলেখা মিত্র	Sreelekha Mitra
দক্ষিণী পাহাড়ি ময়না	Southern hill myna
লোন্দা	Londa, Karnataka
টেমপ্লেট:রমযান	Template:Ramadan
বিষয়শ্রেণী:শস্য	Category:Crops
২০১৩ পাকিস্তান ক্রিকেট দলের ওয়েস্ট ইন্ডিজ সফর	Pakistani cricket team in the West Indies in 2013
২০১৩ ভারত ক্রিকেট দলের জিম্বাবুয়ে সফর	Indian cricket team in Zimbabwe in 2013
টেমপ্লেট:২০১৩-এ আন্তর্জাতিক ক্রিকেট	Template:International cricket in 2013
টেমপ্লেট:National sports teams of Ireland	Template:National sports teams of Ireland
টেমপ্লেট:পার্থ স্কর্চার্স বর্তমান দল	Template:Perth Scorchers current squad
টেমপ্লেট:ওয়েস্টার্ন ওয়ারিয়র্স স্কোয়াড	Template:Western Warriors squad
টেমপ্লেট:GFDL-self-with-disclaimers	Template:GFDL-self-with-disclaimers
উইকিপিডিয়া:ভালো নিবন্ধের গুণাবলী/GAC	Wikipedia:Good article criteria/GAC
টেমপ্লেট:ভেনিসা হাডজেন্স	Template:Vanessa Hudgens
টেমপ্লেট:১৯৭৯ ক্রিকেট বিশ্বকাপ	Template:1979 Cricket World Cup
টেমপ্লেট:টেস্ট ম্যাচ	Template:Two-innings cricket match
বড় লজ্জাবতী	Mimosa rubicaulis
টেমপ্লেট:Set index article	Template:Set index article
টেমপ্লেট:মহিলাদের পোল ভল্টে ইউরোপীয় চ্যাম্পিয়ন	Template:Footer European Champions Pole Vault Women
টেমপ্লেট:আফ্রিকান কাপ অব নেশন্সে বিজয়ী দল	Template:Africa Cup of Nations winners
টেমপ্লেট:ওএফসি নেশন্স কাপ বিজয়ী	Template:OFC Nations Cup winners
টেমপ্লেট:Page tabs	Template:Page tabs
টেমপ্লেট:IPA-ko	Template:IPA-ko
মডিউল:Convert	Module:Convert
টেমপ্লেট:রিচার্ড ফাইনম্যান	Template:Richard Feynman
টেমপ্লেট:তারিখ অনুপস্থিত	Template:Date missing
টেমপ্লেট:বছর অনুপস্থিত	Template:Year missing
টেমপ্লেট:Works year header/helper	Template:Works year header/helper
ফাল্গুন	Falgun
২০১৩ দক্ষিণ আফ্রিকা ক্রিকেট দলের শ্রীলঙ্কা সফর	South African cricket team in Sri Lanka in 2013
বিষয়শ্রেণী:পাকিস্তান ক্রিকেট দলের ওয়েস্ট ইন্ডিজ সফর	Category:Pakistani cricket tours of the West Indies
টেমপ্লেট:বাংলাদেশের বিভাগসমূহ চিত্র মানচিত্র	Template:Divisions of Bangladesh Image Map
বিষয়শ্রেণী:বাহামার প্রধানমন্ত্রী	Category:Prime Ministers of the Bahamas
টেমপ্লেট:তথ্যছক জাহাজ বৃত্তান্ত	Template:Infobox ship career
টেমপ্লেট:তথ্যছক জাহাজ বৈশিষ্ট্য	Template:Infobox ship characteristics
টেমপ্লেট:শ্রীলঙ্কার বিরুদ্ধে আন্তর্জাতিক একদিনের ক্রিকেট	Template:International one day cricket against Sri Lanka
টেমপ্লেট:নির্বাচিত চিত্র	Template:Selected picture
টেমপ্লেট:নির্বাচিত জীবনী	Template:Selected biography
টেমপ্লেট:তথ্যছক দেবতা	Template:Infobox deity
টেমপ্লেট:Progress box	Template:Progress box
টেমপ্লেট:পাকিস্তান দল ১৯৯২ ক্রিকেট বিশ্বকাপ	Template:Pakistan Squad 1992 Cricket World Cup
হালিশহর	Halishahar Thana
সফিস্ট	Sophist
টেমপ্লেট:বর্ষসেরা অস্ট্রেলীয়	Template:Australians of the Year
টেমপ্লেট:তথ্যছক ক্রিকেটার/কর্মজীবন	Template:Infobox cricketer/career
টেমপ্লেট:FL number	Template:FL number
টেমপ্লেট:ইন্টারনেট হল অফ ফেম	Template:Internet Hall of Fame
টেমপ্লেট:তথ্যছক ক্রিকেটার/জাতীয় পার্শ্ব	Template:Infobox cricketer/national side
আলমপুর (মধ্য প্রদেশ)	Alampur, Mahbubnagar
টপ এন্ড	Top End
পিলানি	Pilani
উবুন্টু এজ	Ubuntu Edge
সান্তিয়াগো দে কম্পোসতেলা ট্রেন দুর্ঘটনা	Santiago de Compostela rail disaster
মামনুন হুসাইন	Mamnoon Hussain
টেমপ্লেট:পাকিস্তান টি২০ ক্রিকেট অধিনায়ক	Template:Pakistan T20I Cricket Captains
টেমপ্লেট:নারীবাদ	Template:Feminism
টেমপ্লেট:PD-Bangladesh	Template:PD-Bangladesh
টেমপ্লেট:প্রবেশদ্বার দন্ড/আইটেম	Template:Portal bar/item
বুরকা এভেঞ্জার	Burka Avenger
টেমপ্লেট:IPA-gl	Template:IPA-gl
অপু বিশ্বাস	Apu Biswas
টেমপ্লেট:আইএফএসি সদস্য	Template:IFAC Members
এস্থার মার্লে কনওয়েল	Esther M. Conwell
বিষয়শ্রেণী:এআরএম অপারেটিং সিস্টেম	Category:ARM operating systems
টেমপ্লেট:Non-free use rationale poster	Template:Non-free use rationale poster
ওবায়দুল কাদের (রাজনীতিবিদ)	Obaidul Quader
২০১৩-১৪ আন্তর্জাতিক ক্রিকেট	International cricket in 2013–14
টেমপ্লেট:ক্রিকেট	Template:International cricket years
টেমপ্লেট:GA nominee	Template:GA nominee
টেমপ্লেট:CheckElement	Template:CheckElement
টেমপ্লেট:ইতিহাস একত্রীকরণ	Template:Histmerge
টেমপ্লেট:Fb team Blackburn Rovers	Template:Fb team Blackburn Rovers
টেমপ্লেট:Fb team Burnley	Template:Fb team Burnley
টেমপ্লেট:Fb team Leicester City	Template:Fb team Leicester City
টেমপ্লেট:Fb team West Ham United	Template:Fb team West Ham United
টেমপ্লেট:আইজিএন	Template:IGN
টেমপ্লেট:LinkForElement	Template:LinkForElement
টেমপ্লেট:NeutronsForElement	Template:NeutronsForElement
টেমপ্লেট:Potd	Template:POTD
টেমপ্লেট:ProtonsForElement	Template:ProtonsForElement
টেমপ্লেট:রেড হ্যাট	Template:Red Hat
টেমপ্লেট:Rotten-tomatoes-person	Template:Rotten Tomatoes person
টেমপ্লেট:Subatomic particle/link	Template:SubatomicParticle/link
টেমপ্লেট:SymbolForElement	Template:SymbolForElement
টেমপ্লেট:Taxonomic references	Template:Taxonomic references
টেমপ্লেট:অ্যান্টাসিড	Template:Antacids
টেমপ্লেট:GMJerusalem	Template:GMJerusalem
টেমপ্লেট:Foreign relations of Turkey	Template:Foreign relations of Turkey
টেমপ্লেট:Infobox military memorial	Template:Infobox military memorial
টেমপ্লেট:Time in religion and mythology	Template:Time in religion and mythology
টেমপ্লেট:পাকিস্তানের প্রধান শহর	Template:Pakistani cities
টেমপ্লেট:ড্রাকুলা	Template:Dracula
টেমপ্লেট:Convert to SVG and copy to Wikimedia Commons	Template:Convert to SVG and copy to Wikimedia Commons
টেমপ্লেট:Spam4alt	Template:Spam4alt
টেমপ্লেট:ষোড়শ সংস্কার	Template:Hindu samskaras
টেমপ্লেট:ইসলাম ও ঈমান	Template:Islam and iman
টেমপ্লেট:Royal Family of Bhutan	Template:Bhutanese Royal Family
টেমপ্লেট:লাদাখ	Template:Ladakh
টেমপ্লেট:Infobox musician awards/customs	Template:Infobox musician awards/customs
টেমপ্লেট:উত্তরপ্রদেশের বিভাগ ও জেলা	Template:Districts of Uttar Pradesh
টেমপ্লেট:প্রেজেন্টেশন সফটওয়্যার	Template:Presentation software
টেমপ্লেট:মার্কিন অঞ্চল	Template:Regions of the United States
টেমপ্লেট:Davis	Template:Davis
টেমপ্লেট:উইকিপ্রকল্প পদার্থবিজ্ঞান	Template:WikiProject Physics
টেমপ্লেট:2008 Summer Olympics NOCs	Template:2008 Summer Olympics NOCs
টেমপ্লেট:ট্রানজিস্টর অ্যামপ্লিফায়ারসমূহ	Template:Transistor amplifiers
টেমপ্লেট:অফিস ডকুমেন্ট ফাইল ফরমেট	Template:Office document file formats
বিষয়শ্রেণী:বাংলাদেশের নগর	Category:Towns of Bangladesh
টেমপ্লেট:Fb team Reading	Template:Fb team Reading
টেমপ্লেট:Fb team Swansea City	Template:Fb team Swansea City
টেমপ্লেট:Hazchem T	Template:Hazchem T
টেমপ্লেট:Infobox spy	Template:Infobox spy
টেমপ্লেট:Val/unitswithlink	Template:Val/unitswithlink
টেমপ্লেট:Infobox Doctor Who episode	Template:Infobox Doctor Who episode
টেমপ্লেট:গুয়াতেমালার ভাষাসমূহ	Template:Languages of Guatemala
টেমপ্লেট:JapanEmpireNavbox	Template:Empire of Japan
টেমপ্লেট:Weather box/cols	Template:Weather box/cols
টেমপ্লেট:Under discussion-inline	Template:Under discussion-inline
টেমপ্লেট:Edit section	Template:Edit section
উইকিপিডিয়া:বার্তা টেমপ্লেট/সাধারণ	Wikipedia:Template messages/General
উইকিপিডিয়া:বার্তা টেমপ্লেট/সংযোগ	Wikipedia:Template messages/Links
উইকিপিডিয়া:বার্তা টেমপ্লেট/অপসারণ	Wikipedia:Template messages/Deletion
ইরফান মাক্কি	Irfan Makki
এভ্‌রিল লেভিগ্‌নি (অ্যালবাম)	Avril Lavigne (album)
টেমপ্লেট:ফিল্মফেয়ার শ্রেষ্ঠ মহিলা অভিষেক পুরস্কার	Template:FilmfareAwardBestFemaleDebut
টেমপ্লেট:ইন্টারনেট আর্কাইভ	Template:Internet Archive
টেমপ্লেট:Footer European Champions 100m Freestyle Women	Template:Footer European Champions 100m Freestyle Women
টেমপ্লেট:মহিলাদের ৫০মিটার ফ্রিস্টাইলে ইউরোপীয় চ্যাম্পিয়ন	Template:Footer European Champions 50m Freestyle Women
টেমপ্লেট:ইসরায়েলের মসজিদ	Template:Mosques in Israel
টেমপ্লেট:ফিলিস্তিনের মসজিদ	Template:Mosques in Palestine
টেমপ্লেট:ADB/Nativeno	Template:ADB/Nativeno
টেমপ্লেট:Category tree:Muslim scholars	Template:Category tree:Muslim scholars
টেমপ্লেট:Telestcat	Template:Telestcat
টেমপ্লেট:Aircontent	Template:Aircontent
টেমপ্লেট:Infobox martial art term	Template:Infobox martial art term
টেমপ্লেট:বিশ্ব ইনডোর পোল ভল্টে মহিলা চ্যাম্পিয়ন	Template:Footer World Indoor Champions Pole Vault Women
টেমপ্লেট:First World War treaties	Template:First World War treaties
টেমপ্লেট:অপরাজেয় দল	Template:The Invincibles squad
টেমপ্লেট:Ru-pop-ref	Template:Ru-pop-ref
টেমপ্লেট:S-court	Template:S-court
টেমপ্লেট:S-culture	Template:S-culture
টেমপ্লেট:S-edu	Template:S-edu
টেমপ্লেট:S-herald	Template:S-herald
টেমপ্লেট:S-legal	Template:S-legal
টেমপ্লেট:S-lit	Template:S-lit
টেমপ্লেট:S-npo	Template:S-npo
টেমপ্লেট:S-other	Template:S-other
টেমপ্লেট:S-rel	Template:S-rel
টেমপ্লেট:Unichar	Template:Unichar
টেমপ্লেট:Unichar/glyph	Template:Unichar/glyph
টেমপ্লেট:Val/delimitnum	Template:Val/delimitnum
টেমপ্লেট:Val/delimitnum/fraction	Template:Val/delimitnum/fraction
টেমপ্লেট:Xpdoc	Template:Xpdoc
টেমপ্লেট:India-film-director-stub	Template:India-film-director-stub
টেমপ্লেট:Chembox Hazards	Template:Chembox Hazards
টেমপ্লেট:Cite ship register	Template:Cite ship register
টেমপ্লেট:Cite report	Template:Cite report
টেমপ্লেট:Cite sign	Template:Cite sign
টেমপ্লেট:Davis-big	Template:Davis-big
টেমপ্লেট:Embedmap Japan	Template:Embedmap Japan
টেমপ্লেট:ফিফা বিশ্বকাপ গোল্ডেন বল	Template:FIFA World Cup Golden Ball
টেমপ্লেট:Fb cs footer	Template:Fb cs footer
টেমপ্লেট:Fb cs header	Template:Fb cs header
টেমপ্লেট:Fb cs staff	Template:Fb cs staff
টেমপ্লেট:Fed	Template:Fed
টেমপ্লেট:Fed-big	Template:Fed-big
টেমপ্লেট:Flagdeco	Template:Flagdeco
টেমপ্লেট:FraAbbr	Template:FraAbbr
টেমপ্লেট:Glasssteelandstone	Template:Glasssteelandstone
টেমপ্লেট:পুরাণ-অসম্পূর্ণ	Template:Greek-myth-stub
টেমপ্লেট:Guardian topic	Template:Guardian topic
টেমপ্লেট:হলেম্যান এ্যন্ড ওয়াইবার্গ	Template:Holleman&Wiberg
টেমপ্লেট:Housecroft3rd	Template:Housecroft3rd
টেমপ্লেট:IPA-fa	Template:IPA-fa
টেমপ্লেট:IPA-hu	Template:IPA-hu
টেমপ্লেট:IPA-la	Template:IPA-la
টেমপ্লেট:IPA-ta	Template:IPA-ta
টেমপ্লেট:IUCN2010	Template:IUCN2010
টেমপ্লেট:তথ্যছক অ্যালবাম/সংযোগ	Template:Infobox album/link
টেমপ্লেট:Infobox UK railway	Template:Infobox UK railway
টেমপ্লেট:Infobox fossil	Template:Infobox fossil
টেমপ্লেট:ইনফোবক্স ক্রীড়াবিষয়ক সংগঠন	Template:Infobox sporting event organization
টেমপ্লেট:Infobox Country World Championships in Athletics	Template:Infobox Country World Championships in Athletics
টেমপ্লেট:JPosttopic	Template:JPosttopic
টেমপ্লেট:Long fossil range/marker	Template:Long fossil range/marker
টেমপ্লেট:MGI	Template:MGI
টেমপ্লেট:Mapit-AUS-suburbscale	Template:Mapit-AUS-suburbscale
টেমপ্লেট:New International Encyclopedia	Template:New International Encyclopedia
টেমপ্লেট:NIE poster	Template:NIE poster
টেমপ্লেট:অফিসিয়াল ওয়েবসাইট/http	Template:Official website/http
টেমপ্লেট:Proteopedia	Template:Proteopedia
টেমপ্লেট:S-line/side cell	Template:S-line/side cell
টেমপ্লেট:Scinote/Sexp	Template:Scinote/Sexp
টেমপ্লেট:Scinote/Sordomag	Template:Scinote/Sordomag
টেমপ্লেট:প্রদর্শন বোতাম	Template:Show button
টেমপ্লেট:Singlechart/chartnote	Template:Singlechart/chartnote
টেমপ্লেট:ক্রীড়া রেকর্ডের সংকেত	Template:Sports record codes
টেমপ্লেট:Square bracket close	Template:Square bracket close
টেমপ্লেট:Telecommunications	Template:Telecommunications
টেমপ্লেট:Unit weight	Template:Unit weight
টেমপ্লেট:ব্যবহারকারী মন্তব্য	Template:Usercomment
টেমপ্লেট:Weekday in month/calc	Template:Weekday in month/calc
টেমপ্লেট:US Army navbox	Template:US Army navbox
টেমপ্লেট:Wiktionary templates common doc	Template:Wiktionary templates common doc
টেমপ্লেট:জাপানের জাতীয় ক্রীড়া দলসমূহ	Template:National sports teams of Japan
টেমপ্লেট:ডলার্‌স ত্রয়ী	Template:Dollars trilogy
টেমপ্লেট:পেন্টহাউস পেটস্	Template:Penthouse Pets
টেমপ্লেট:২০০১-এর পেন্টহাউস পেটস্	Template:Penthouse Pets of 2001
টেমপ্লেট:২০০৩-এর পেন্টহাউস পেটস্	Template:Penthouse Pets of 2003
টেমপ্লেট:২০০৬-এর পেন্টহাউস পেটস্	Template:Penthouse Pets of 2006
টেমপ্লেট:২০০৭-এর পেন্টহাউস পেটস্	Template:Penthouse Pets of 2007
টেমপ্লেট:সাক্ষরতা	Template:Literacy
টেমপ্লেট:লরিয়াস বর্ষসেরা বিশ্ব মহিলা ক্রীড়াব্যক্তিত্ব	Template:Laureus World Sportswoman of the Year
টেমপ্লেট:চীনের জাতীয় মহাসড়ক	Template:China National Highways
টেমপ্লেট:সাফ চ্যাম্পিয়নশিপ	Template:SAFF Championship
টেমপ্লেট:শিন্তৌ	Template:Shinto
টেমপ্লেট:Distinguish2	Template:Distinguish2
টেমপ্লেট:Subatomic particle/list	Template:Subatomic particle/list
টেমপ্লেট:মোটর জ্বালানি	Template:Motor fuel
টেমপ্লেট:ব্যবহারকারী উইকিপিডিয়া/ফাইল মুভার	Template:User wikipedia/Filemover
টেমপ্লেট:ডব্লিউডব্লিউই মহাতারকা	Template:WWE superstar
টেমপ্লেট:উইকিয়া বিষয়	Template:Wikia topics
টেমপ্লেট:ইরানের সর্বোচ্চ ধর্মীয় নেতা	Template:Supreme Leaders of Iran
টেমপ্লেট:সরকারী মন্ত্রীদের ধরণ	Template:Types of government ministers
টেমপ্লেট:টেমপ্লেট খেলাঘর	Template:Template sandbox
টেমপ্লেট:ডিসকভারি যোগাযোগ	Template:Discovery Communications
টেমপ্লেট:Element color/X	Template:Element color/Unknown (white)
টেমপ্লেট:Fake notes and references	Template:Fake notes and references
টেমপ্লেট:Fh	Template:Fhm
টেমপ্লেট:ISBN needed	Template:ISBN missing
টেমপ্লেট:তথ্যছক নৃত্যশিল্পী	Template:Infobox dancer
টেমপ্লেট:Infobox French commune/regdept	Template:Infobox French commune/regdept
টেমপ্লেট:Infobox French commune/regmap	Template:Infobox French commune/regmap
টেমপ্লেট:তথ্যছক পণ্য	Template:Infobox product
টেমপ্লেট:তথ্যছক অভিনেতা পুরষ্কার	Template:Infobox actor awards
টেমপ্লেট:জুরাসিক ফুটার	Template:Jurassic Footer
টেমপ্লেট:Linknote	Template:Link note
টেমপ্লেট:Lunar coords and quad cat	Template:Lunar coords and quad cat
টেমপ্লেট:Lunar quadrangle	Template:Lunar quadrangle
টেমপ্লেট:Mapplot Japan	Template:Mapplot Japan
টেমপ্লেট:NZ population data	Template:NZ population data
টেমপ্লেট:Not here	Template:Not here
টেমপ্লেট:Off-topic	Template:Off-topic
টেমপ্লেট:PD-AustraliaGov	Template:PD-AustraliaGov
টেমপ্লেট:পিটিভি	Template:PTV
টেমপ্লেট:Poemyr	Template:Poemyr
টেমপ্লেট:প্রকাশক অনুপস্থিত	Template:Publisher missing
টেমপ্লেট:S-pre	Template:S-pre
টেমপ্লেট:Scinote/e	Template:Scinote/e
টেমপ্লেট:সিরিয়া ভূগোল অসম্পূর্ণ	Template:Syria-geo-stub
টেমপ্লেট:Tltt/tip	Template:Tltt/tip
টেমপ্লেট:অনুবাদ-অসম্পূর্ণ	Template:Translation-stub
টেমপ্লেট:Unichar/hexformat	Template:Unichar/hexformat
টেমপ্লেট:UpdatedDYKNom	Template:UpdatedDYKNom
টেমপ্লেট:ব্যবহারকারী/প্রকৌশলী	Template:User engineer
টেমপ্লেট:Uw-italicize	Template:Uw-italicize
টেমপ্লেট:Uw-legal	Template:Uw-legal
টেমপ্লেট:Unbalanced	Template:Unbalanced
টেমপ্লেট:কোনটি	Template:Which
টেমপ্লেট:Wikipediholism	Template:Wikipediholism
টেমপ্লেট:WorksDecadeHeader	Template:WorksDecadeHeader
টেমপ্লেট:WorksDecade navigation	Template:WorksDecade navigation
টেমপ্লেট:চীনের জাতীয় দলসমূহ	Template:National sports teams of China
টেমপ্লেট:অ্যান্টি-ডায়াবেটিক ঔষধ	Template:Oral hypoglycemics and insulin analogs
টেমপ্লেট:Organisation of the Ottoman Empire	Template:Organization of the Ottoman Empire
টেমপ্লেট:বাংলাদেশের শহর	Template:Bangladesh cities
টেমপ্লেট:Navbox Province of Italy	Template:Navbox Province of Italy
টেমপ্লেট:নিউক্লেডি টেমপ্লেট	Template:Nuclide templates
টেমপ্লেট:অস্ট্রেলিয়ায় ছুটির দিন	Template:Australia Holidays
