ܐܦܪܝܩܐ	Africa
ܣܕܪܐ:User ru-3	Category:User ru-3
ܣܕܪܐ:User templates ar	Category:User templates ar
ܣܕܪܐ:User templates arc	Category:User templates arc
ܣܕܪܐ:User templates en	Category:User templates en
ܣܕܪܐ:User templates he	Category:User templates he
ܣܕܪܐ:User tl	Category:User tl
ܣܕܪܐ:User tmr	Category:User tmr
ܣܕܪܐ:User tr	Category:User tr
ܣܕܪܐ:ܙܡܪܐ	Category:Musicians
ܩܠܒܐ:Lang	Template:Lang
ܣܕܪܐ:ܪܫܘܡܐ	Category:Painters
ܩܠܒܐ:ܫܠܝܚܐ ܕܡܫܝܚܐ	Template:Apostles
ܩܠܒܐ:ܟܬܒܐ ܩܕܝܫܐ	Template:Bible-related
ܩܠܒܐ:Busy/Doc	Template:Busy
ܡܪܝ ܐܦܪܝܡ ܟܡܝܣ	Mar Aprim Khamis
ܡܪܝ ܥܡܢܘܐܝܠ ܝܘܣܦ	Mar Emmanuel Yosip
ܡܪܝ ܓܝܘܪܓܝܣ ܨܠܝܒܐ	Gewargis Sliwa
ܡܪܝ ܡܝܠܝܣ ܙܝܥܐ	Meelis Zaia
ܡܪܝ ܥܒܕܝܫܘܥ ܐܒܪܗܡ	Odisho Oraham
ܣܕܪܐ:ܐܡܢܐ ܥܠ ܐܕܫܐ	Category:Occupations by type
ܩܠܒܐ:ܚܡܫܐ ܐܘܩܝܢܘ	Template:Five oceans
ܩܠܒܐ:CHI	Template:CHL
ܩܠܒܐ:Cat handler/numbered	Template:Category handler/numbered
ܩܠܒܐ:FPCQuickLinks	Template:FPCQuickLinks
ܣܕܪܐ:ܢܝܓܪ	Category:Niger
ܩܠܒܐ:Chinese calendar/cycle	User:Python eggs/Chinese calendar/cycle
ܣܕܪܐ:ܝܘܠܦܢ ܩܢܘܢܝܐ	Category:Jurisprudence
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܕܡܕܢܚܐ	Category:Patriarchs of the Church of the East
ܩܠܒܐ:Infobox language/family-color	Template:Infobox language/family-color
ܩܠܒܐ:User ar-0	Template:User ar-0
ܣܕܪܐ:ܣܥܪܐ	Category:Hairstyles
ܩܠܒܐ:User ar-4	Template:User ar-4
ܩܠܒܐ:User arc	Template:User arc
ܣܕܪܐ:ܢܗܪܘܬܐ	Category:Rivers
ܩܠܒܐ:User he-0	Template:User he-0
ܩܠܒܐ:User he-3	Template:User he-3
ܩܠܒܐ:User he-4	Template:User he-4
ܩܠܒܐ:User ko	Template:User ko
ܩܠܒܐ:User pt	Template:User pt
ܣܕܪܐ:User nl	Category:User nl
ܣܕܪܐ:User no	Category:User no
ܣܕܪܐ:ܣܘܪܝܐ	Category:Syria
ܣܕܪܐ:ܕܪܐ ܩܕܡܝܐ	Category:1st century
ܣܕܪܐ:ܓܙܪܬܐ ܝܒܫܢܝܬܐ	Category:Peninsulas
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܕܗܘܠܢܕܐ	Category:Provinces of the Netherlands
ܣܕܪܐ:ܡܢܝܢܐ	Category:Integers
ܣܕܪܐ:ܡܕܝܢܬܐ ܕܥܝܪܐܩ	Category:Cities in Iraq
ܣܕܪܐ:ܥܝܢܐ (ܨܪܘܝܘܬܐ)	Category:Eye
ܢܝܢܘܣ ܐܚܐ	Ninos Aho
ܣܕܪܐ:ܓܘܪܓܝܐ	Category:Georgia (country)
ܣܕܪܐ:ܟܘܘܝܬ	Category:Kuwait
ܣܕܪܐ:ܠܒܢܢ	Category:Lebanon
ܣܕܪܐ:ܪܝܫܝ ܩܘܛܢܝܘܬܐ ܕܐܬܪܘܬܐ ܡܚܝܕܐ ܕܐܡܪܝܩܐ	Category:Presidents of the United States
ܣܕܪܐ:ܝܘܪܕܢܢ	Category:Jordan
ܣܕܪܐ:ܦܐܪܐ	Category:Fruit
ܣܕܪܐ:ܝܘܠܦܢ ܟܘܪܗܢܐ	Category:Pathology
ܣܕܪܐ:ܓܒܐ	Category:Political parties
ܣܕܪܐ:ܕܝܬܝܩܝ ܚܕܬܐ	Category:New Testament
ܣܕܪܐ:ܕܝܬܝܩܝ ܥܬܝܩܬܐ	Category:Old Testament
ܣܕܪܐ:ܐܘܩܝܢܘ	Category:Oceans
ܣܕܪܐ:ܓܪܡܐ	Category:Skeletal system
ܣܕܪܐ:ܗܘܦܪܟܝܣ ܘܐܘܚܕܢܐ ܕܩܢܕܐ	Category:Provinces and territories of Canada
ܣܕܪܐ:ܚܝܘܬܐ	Category:Animals
ܣܕܪܐ:ܛܘܪܐ	Category:Mountain ranges
ܣܕܪܐ:ܣܘܥܪܢܐ	Category:Events
ܣܕܪܐ:ܟܘܪܗܢܐ	Category:Diseases and disorders
ܣܕܪܐ:User pl	Category:User pl
ܣܕܪܐ:ܩܣܪ	Category:Emperors
ܣܕܪܐ:ܡܕܒܪܐ	Category:Deserts
ܣܕܪܐ:ܝܡܡܬܐ	Category:Lakes
ܩܠܒܐ:ܨܢܕܘܩ ܡܚܡܝܬܐ ܡܨܥܝܐ	Template:Infobox storage medium
ܩܠܒܐ:ܨܢܕܘܩ ܪܡܙܐ ܕܠܫܢܐ	Template:Infobox language
ܣܕܪܐ:User templates	Template:User templates
ܣܕܪܐ:ܩܛܠܥܡܐ	Category:Massacres
ܣܕܪܐ:ܡܠܟܘܬܐ ܕܗܘܠܢܕܐ	Category:Kingdom of the Netherlands
ܣܪܓܘܢ ܓܒܪܐܝܠ	Sargon Gabriel
ܨܝܢ	China (disambiguation)
ܣܕܪܐ:ܠܫܢܐ ܘܠܥܙܐ ܨܝܢܝܐ	Category:Varieties of Chinese
ܛܪܘܝܐܢܝ	Trojany, Masovian Voivodeship
ܫܪܓܐ	Lamp
ܩܠܒܐ:User tmr-1	Template:User tmr-1
ܩܠܒܐ:User arc-4	Template:User arc-4
ܩܠܒܐ:User arc-3	Template:User arc-3
ܩܠܒܐ:User arc-2	Template:User arc-2
ܩܠܒܐ:User arc-1	Template:User arc-1
ܩܠܒܐ:User arc-0	Template:User arc-0
ܩܠܒܐ:Sister	Template:Sister project
ܣܕܪܐ:ܢܒܝܐ ܕܕܝܬܝܩܝ ܥܬܝܩܬܐ	Category:Prophets of the Hebrew Bible
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܕܡܕܢܚܐ ܕܐܬܘܪܝܐ	Category:Catholicos Patriarchs of the Assyrian Church of the East
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܟܠܕܝܬܐ ܩܬܘܠܝܩܝܬܐ	Category:Chaldean Catholic Patriarchs of Babylon
ܩܠܒܐ:ܝܗܘܝܬܐ Falkland Islands	Template:Country data Falkland Islands
ܣܕܪܐ:ܦܛܪܝܪܟܘ	Category:Church patriarchs
ܣܕܪܐ:ܒܝܬ ܟܬܒܐ	Category:Libraries
ܣܕܪܐ:ܫܢܬܐ ܥܕܬܢܝܬܐ	Category:Liturgical calendar
ܣܕܪܐ:ܐܪܙܐ	Category:Sacraments
ܣܕܪܐ:ܒܝܬ ܢܗܪܝܢ	Category:Mesopotamia
ܣܕܪܐ:ܕܝܪ̈ܬܐ ܣܘܪ̈ܝܝܬܐ	Category:Syriac Orthodox monasteries
ܣܕܪܐ:ܓܘܢܐ	Category:Color
ܩܠܒܐ:ܝܗܘܝܬܐ South Georgia and the South Sandwich Islands	Template:Country data South Georgia and the South Sandwich Islands
ܣܕܪܐ:ܦܣܩܐ ܕܝܘܡܐ	Category:Parts of a day
ܣܕܪܐ:ܦܛܪܝܪܟܘ ܕܥܕܬܐ ܣܘܪܝܝܬܐ ܐܪܬܘܕܟܣܝܬܐ	Category:Syriac Orthodox Patriarchs of Antioch
ܕܒܘܪܐ (ܪܚܫܐ)	Wasp
ܩܠܒܐ:ܣܘܪܓܕܐ ܚܘܫܒܢܐ	Template:Year in other calendars
ܣܕܪܐ:ܩܕܝܫܐ	Category:Saints
ܩܪܕܐ (ܪܚܫܐ)	Tick
ܩܠܒܐ:ܣܝܩܘܡ ܫܘܪܝܐ	Template:Start date
ܩܠܒܐ:User nl-4	Template:User nl-4
ܩܠܒܐ:User nl-3	Template:User nl-3
ܪܩܝܝܥܝܬܐ ܕܐܬܘܪ	KBSV
ܩܠܒܐ:Tim	Template:Tim
ܩܠܒܐ:ܠܫܢܐ ܨܝܢܝܐ	Template:Chinese language
ܬܪܥܐ:ܐܘܩܝܢܘܣܝܐ	Portal:Oceania
ܩܠܒܐ:User he-5	Template:User he-5
ܩܠܒܐ:User tmr	Template:User tmr
ܩܠܒܐ:P1	Template:P1
ܐܪܡܝܐ	Aramaean (disambiguation)
ܩܠܒܐ:User arc-5	Template:User arc-5
ܢܘܓܗܐ	Dawn
ܩܠܒܐ:Sec link/normal link	Template:Sec link/normal link
ܩܠܒܐ:Sec link/text	Template:Sec link/text
ܩܠܒܐ:Documentation/core2	Template:Documentation/core2
ܘܝܩܝܦܕܝܐ:NavFrame	Wikipedia:NavFrame
ܩܠܒܐ:Infobox language/genetic	Template:Infobox language/genetic
ܡܪܝ ܐܝܣܚܩ ܝܘܣܦ	Mar Iskhaq Yosip
ܩܠܒܐ:Chinese calendar/year/78	User:Python eggs/Chinese calendar/year/78
ܩܠܒܐ:ܫܢܬܐ ܒܣܘܪܓܕܐ ܐܚܪܝܢܐ/ܝܦܢܢܝܐ	Template:Year in other calendars/Japanese
ܟܘܕܐ	Lochia
ܕܝܠܢܝܐ:ܫܘܚܠܦ̈ܐ ܚܕ̈ܬܐ	Special:RecentChanges
ܩܠܒܐ:Chinese calendar/month/78/27	User:Python eggs/Chinese calendar/month/78/27
